ZONE, AREA, CLINIC CODE, CLINIC, ADDRESS, POSTAL, TEL, FAX, OPERATING HOURS MON - FRI, SAT, SUN, PUBLIC HOLIDAY, REMARKS, LAT, LNG
"WEST","JURONG WEST","SGP000476","ICON MEDICAL CLINIC","BLK 517 JURONG WEST STREET 52 #01-101","640517","65600521","65691075","8.30AM-1.45PM,6.00PM-8.45PM","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","", 1.3456897, 103.7195509
"WEST","JURONG WEST","SGP000418","HISEMAINN MEDICAL CLINIC (JURONG WEST)","BLK 276 JURONG WEST STREET 25 #01-06","640276","67958990","67939134","8.30AM-3.30PM,6.30PM-9.30PM","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","", 1.35363, 103.703748
"WEST","JURONG WEST","SGP000218","LOI + WONG CLINIC & SURGERY","BLK 492 JURONG WEST STREET 41 #01-08","640492","65626676","65626676","8.30AM-12.30PM,2.00PM-4.00PM,7.00PM-9.30PM","8.30AM-12.30PM","8.30AM-12.30PM","CALL TO FIND OUTOPERATING HOURS","LAST REGISTRATIONIS 15 MINS BEFORECLOSING.", 1.3499974, 103.7249331
"WEST","JURONG WEST","SGP000638","ONE MEDICAL CLINIC","BLK 728 JURONG WEST AVENUE 5 #01-K1","640728","67922143","67925793","8.30AM-2.00PM,6.00PM-9.00PM","9.00AM-12.30PM","CLOSED","CLOSED","", 1.3461462, 103.6979644
"WEST","JURONG WEST","SGP000685","GJ MEDICAL CLINIC (JURONG POINT)","1 JURONG POINT SHOPPING CENTRE JURONG WESTCENTRAL 2 #B1A-19A","648886","67958658","67958659","9.00AM-1.00PM,2.00PM-5.00PM,6.00PM-9.00PM(CLOSED ON THU & FRINIGHT)","CLOSED","2.00PM-6.00PM","CLOSED","LAST REGISTRATIONIS 15MINS BEFORECLOSING TIME", 1.3394861, 103.7065585
"WEST","JURONG WEST","SGP000672","JURONG DAY & NIGHT CLINIC PTE LTD","BLK 966 JURONG WEST STREET 93 #01-219","640966","67922257","","9.00AM-12.30PM,6.30PM-9.00PM(FRIDAY EVENINGCLOSED AT 8.30PM)","9.30AM-12.00PM","6.30PM-8.30PM","6.30PM-8.30PM","", 1.3417645, 103.6929121
"WEST","JURONG WEST","SGP000090","FULLERTON HEALTHCARE GROUP @ DRS TRYTHALLHOY DAVIES, JURONG POINT","1 JURONG POINT JURONG WEST CENTRAL 2 #B1A-19B","648886","67930611","67931393","8.30AM-12.30PM2.00PM-6.00PM","8.30AM-1.00PM","CLOSED","CLOSED","Patient to arrive atclinic at least 30 minsbefore closing", 1.3394861, 103.7065585
"CENTRAL-EAST","KALLANG","SGP000220","LOW MEDICAL CLINIC","BLK 67 KALLANG BAHRU #01-447","330067","62950805","62977792","8.00AM-3.00PM,6.30PM-8.00PM(CLOSED ON TUE, WED& FRI NIGHTS)","8.00AM-11.00PM","CLOSED","CLOSED","", 1.3216976, 103.8692279
"CENTRAL-EAST","KALLANG","SGP000049","CHOONG'S CLINIC (21)","BLK 21 OLD AIRPORT ROAD #01-97","390021","63442400","63442400","8.00AM-11.00AM,2.30PM-3.30PM,7.00PM-8.30PM","8.30AM-11.30AM","8.30AM-11.30AM","8.30AM-11.30AM","", 1.307519, 103.884504
"CENTRAL-EAST","LAVENDER","SGP000342","TEXTILE CENTRE CLINIC","200 TEXTILE CENTRE JALAN SULTAN #03-32","199018","62982400","62917933","9.00AM-12.00PM,2.00PM-4.30PM","CLOSED","CLOSED","CLOSED","", 1.3038369, 103.8613911
"CENTRAL-EAST","KALLANG","SGP000762","NORTHEAST MEDICAL GROUP","BLK 39 JALAN TIGA #01-01","390039","62413298","62413219","MON: 8.00AM-1.00PM,2.00PM-6.00PM,7.00PM-10.30PM TUE-FRI: 8.00AM-1.00PM,2.00PM-5.00PM,6.00PM-10.30PM","8.00AM-1.00PM,6.00PM-10.30PM","8.00AM-1.00PM,2.00PM-7.00PM","8.00AM-1.00PM","", 1.307757, 103.8850026
"WEST","JURONG WEST","SGP000513","POINT MEDICAL GROUP (JURONG POINT)","1 JURONG POINT JURONG WEST CENTRAL 2 #B1-20A","648886","67922370","67924781","8.30AM-12.30PM,2.00PM-5.30PM,6.30PM-8.30PM","8.30AM-12.30PM,2.00PM-5.00PM","CLOSED","CLOSED","LAST REGISTRATION30 MINS BEFORECLOSING TIME.", 1.3393411, 103.7053874
"EAST","KATONG","SGP000038","CHAN FAMILY CLINIC","865 KATONG SHOPPING CENTRE MOUNTBATTEN ROAD#02-81H","437844","63454683","","9.00AM-3.45PM","9.00AM-12.30PM","CLOSED","CLOSED","", 1.3039671, 103.9012865
"CENTRAL-EAST","LAVENDER","SGP000749","KING GEORGE'S MEDICAL CLINIC PTE LTD","BLK 803 KING GEORGE'S AVENUE #01-144","200803","62939883","62954782","8.30AM-12.30PM,2.00PM-4.30PM (TUE &WED ONLY), 6.00PM-8.00PM (THUR ONLY)","8.30AM-12.30PM","CLOSED","CLOSED","", 1.3080409, 103.8606263
"CENTRAL-EAST","KALLANG","SGP000711","THE CLINIC @ APERIA","12 THE APERIA KALLANG AVENUE #03-15","339511","63416892","63416892","8.30AM-1.00PM,2.00PM-5.30PM","8.30AM-12.30PM","CLOSED","CLOSED","", 1.3095811, 103.8642468
"CENTRAL-EAST","KEMBANGAN","SGP000153","HEALTHWAY MEDICAL CLINIC","BLK 110 LENGKONG TIGA #01-231","410110","67494062","67476487","8.30AM-1.00PM,2.00PM-5.00PM,6.30PM-9.00PM(CLOSED ON FRIDAYNIGHTS)","8.30AM-12.30PM","9.00AM-12.30PM","9.00AM-12.30PM","", 1.3237971, 103.9107939
"CENTRAL-EAST","KALLANG","SGP000582","THE BALMORAL CLINIC @ LEISURE PARK","5 LEISURE PARK KALLANG STADIUM WALK #02-21","397693","63452202","62423293","9.30AM-12.30PM,2.30PM-5.00PM","10.00AM-12.30PM","CLOSED","CLOSED","PLEASE CALL FORAPPOINTMENTS.", 1.3021872, 103.8765059
"WEST","JURONG WEST","SGP000543","JURPOINT MEDICARE CLINIC","1 JURONG POINT JURONG WEST CENTRAL 2 #B1A-20B","648886","67940070","68623629","8.30AM-11.30AM,2.00PM-4.30PM","8.30AM-10.30AM","CLOSED","CLOSED","LAST REGISTRATIONIS ONE HOUR BEFORECLOSING.", 1.3401512, 103.706557
"WEST","JURONG WEST","SGP000084","DRS OH, LIM, WONG AND PARTNERS","BLK 959 JURONG WEST STREET 92 #01-154","640959","67913988","67918802","MON/WED/THU:8.30AM-8.30PMTUE/FRI: 8.30AM-5.00PM","9.00AM-12.00PM","CLOSED","CLOSED","LAST REGISTRATIONIS 15MINS BEFORECLOSING TIME.", 1.341514, 103.690502
"WEST","JURONG WEST","SGP000254","NANYANG CENTRE CLINIC","BLK 959 JURONG WEST STREET 92 #01-162","640959","67910962","67926005","8.30AM-12.30PM,2.00PM-4.30PM,7.00PM-9.00PM(CLOSED ON FRINIGHT)","8.30AM-12.00PM","8.30AM-12.00PM","8.30AM-12.00PM","", 1.341514, 103.690502
"WEST","JURONG WEST","SGP000533","PIONEER MEDICAL CENTRE PTE LTD","BLK 651 JURONG WEST STREET 61 #01-06","640651","67907668","67907228","MON/TUE: 8.00AM-2.30PM, 6.30PM-10.00PM WED:8.00AM-12.00PM,3.00PM-5.30PM,6.30PM-10.30PMTHU/FRI: 8.00AM-12.00PM, 2.30PM-4.30PM, 6.30PM-10.00PM","8.00AM-12.00PM","8.00AM-12.00PM,7.00PM-10.00PM","CLOSED","", 1.3371059, 103.6970893
"CENTRAL-EAST","KALLANG","SGP000420","SPRING MEDICAL CLINIC (OLD AIRPORT ROAD)","BLK 39 PINE GREEN JALAN TIGA #01-03","390039","62477077","62479385","9.00AM-3.00PM,6.30PM-9.30PM(CLOSED ON FRINIGHT)","9.00AM-12.30PM","CLOSED","CLOSED","LAST REGISTRATION15 MINS BEFORECLOSING TIME.", 1.307517, 103.8850075
"CENTRAL-EAST","MACPHERSON","SGP000204","LIFECARE MEDICAL CENTRE","BLK 36 CIRCUIT ROAD #01-416","370036","67461533","67461533","8.30AM-3.00PM,6.30PM-9.00PM","8.30AM-12.00PM","CLOSED","CLOSED","", 1.3290089, 103.8869372
"CENTRAL-EAST","LAVENDER","SGP000668","TRINITY MEDIPLUS (LAVENDER)","304 LAVENDER STREET","338812","62995457","","8.30AM-1.00PM,2.00PM-5.00PM","8.30AM-12.00PM","CLOSED","CLOSED","", 1.3150298, 103.85963
"EAST","MARINE PARADE","SGP000768","ACCESS MEDICAL (MARINE TERRACE)","BLK 58 MARINE TERRACE #01-61","440058","62415208","62415127","7.00AM-1.00PM,6.00PM-12.000MN","7.00AM-1.00PM,6.00PM-12.000MN","7.00AM-1.00PM,6.00PM-12.000MN","7.00AM-1.00PM,6.00PM-12.000MN","", 1.3059802, 103.9137743
"EAST","MARINE PARADE","SGP000397","MEDILINE WEI MIN CLINIC (MARINE PARADE)","BLK 81 MARINE PARADE CENTRAL #01-634","440081","62479221","62479392","7.00AM-12.00AM","7.00AM-12.00AM","7.00AM-12.00AM","7.00AM-12.00AM","", 1.3026441, 103.9070753
"CENTRAL-EAST","MACPHERSON","SGP000715","ACCESS MEDICAL (CIRCUIT ROAD)","88 CIRCUIT ROAD #01-965","370088","65478840","65478842","7.00AM-1.00PM,6.00PM-12.00AM","7.00AM-1.00PM,6.00PM-12.00AM","7.00AM-1.00PM,6.00PM-12.00AM","7.00AM-1.00PM,6.00PM-12.00AM","", 1.3235389, 103.8858657
"CENTRAL","LITTLE INDIA","SGP000737","TAYKA MEDICAL","29A DESKER ROAD","209562","63924473","63924593","10.00AM-10.00PM","10.00AM-10.00PM","10.00AM-10.00PM","10.00AM-10.00PM","", 1.3094013, 103.8547045
"CENTRAL","LITTLE INDIA","SGP000439","APOLLO MEDICAL CENTRE","BLK 668 CHANDER ROAD #01-24","210668","62962777","62964348","8.00AM-1.00PM,2.00PM-5.00PM,6.00PM-9.30PM","8.00AM-1.00PM,2.00PM-5.00PM,6.00PM-9.30PM","10.00AM-1.00PM,2.00PM-5.00PM,6.00PM-9.30PM","10.00AM-1.00PM,2.00PM-5.00PM,6.00PM-9.30PM","CLINIC DOES NOTCARRY PEDIATRICMEDICINES FORCHILDREN BELOW 12YEARS OLD.", 1.3076809, 103.8513919
"EAST","MARINE PARADE","SGP000115","FAMILY MEDICINE CLINIC","BLK 58 MARINE TERRACE #01-65","440058","64491606","64491606","MON-FRI: 9.00AM-12.30PM MON-THU:2.30PM-4.30PM MON& WED: 7.00PM-9.00PM","9.00AM-12.30PM","CLOSED","CLOSED","", 1.3059802, 103.9137743
"SOUTH","MARINA BAY","SGP000550","CLINIC @ THE SAIL","2 THE SAIL @ MARINA BAY MARINA BOULEVARD #B1-11/12","18987","62255410","62255910","8.00AM-1.00PM,2.00PM-5.00PM","8.30AM-12.00PM","CLOSED","CLOSED","", 1.280783, 103.85265
"CENTRAL","LITTLE INDIA","SGP000535","CARE FAMILY CLINIC","BLK 663 BUFFALO ROAD #01-12","210663","62995868","62995869","8.30AM-12.30PM,1.30PM-4.00PM,6.00PM-9.00PM(CLOSED ON FRINIGHTS)","8.30AM-12.30PM","1.00PM-6.00PM","8.30AM-12.30PM","", 1.305672, 103.850873
"EAST","MARINE PARADE","SGP000652","TRINITY MEDICAL CENTRE (MARINE PARADE)","87 MARINE PARADE CENTRAL #02-500A","440087","63440027","63480683","8.30AM-12.30PM,2.00PM-5.00PM,6.00PM-9.00PM","8.30AM-12.30PM,2.00PM-5.00PM","8.30AM-12.30PM,2.00PM-5.00PM","CLOSED","", 1.3024168, 103.9056331
"","ORCHARD","SGP000769","ACMS MEDICAL CLINIC","1 ORCHARD BUILDING GRANGE ROAD #06-06","239693","62625052","62625022","9.00AM-12.30PM,2.00PM-4.30PM","9.00AM-12.00PM","CLOSED","CLOSED","", 1.3014117, 103.8372446
"EAST","MARINE PARADE","SGP000226","MARINE PARADE CLINIC","BLK 59 MARINE TERRACE #01-81","440059","62419065","64434549","9.00AM-12.30PM2.30PM-4.30PM7.00PM-8.30PM","9.00AM-12.30PM","9.00AM-12.30PM","CLOSED","Closed on Fri nights", 1.3058044, 103.9147244
"CENTRAL","ORCHARD","SGP000723","DR TAN & PARTNERS @ SCOTTS","9 PACIFIC PLAZA SCOTTS ROAD #06-06","228210","66942348","66942358","MON/WED/FRI:8.00AM-9.00PM TUES& THURS: 8.00AM-5.00PM","8.00AM-1.00PM","CLOSED","CLOSED","", 1.306592, 103.832225
"CENTRAL","NOVENA","SGP000364","THE RAFFLESIAN CLINIC & SURGERY","10 SQUARE 2 SINARAN DRIVE #11-06","307506","63382740","63386840","MON-FRI: 9.00AM-12.00PM, 2.00PM-4.00PM","10.00AM-2.00PM(FOR AESTHETICSPATIENTS ONLY)","CLOSED","CLOSED","PLEASE MAKE ANAPPOINTMENTBEFORE VISIT.PATIENT TO ARRIVEAT LEAST 15MINSBEFORE CLOSING.", 1.3208476, 103.8441535
"CENTRAL","ORCHARD","SGP000011","ATRIA MEDICAL CLINIC","290 PARAGON MEDICAL TOWER, LIFT LOBBY 1 ORCHARDROAD #12-01","238859","67341433","67362866","9.30AM-12.30PM,2.15PM-4.30PM","9.30AM-12.30PM","CLOSED","CLOSED","", 1.304246, 103.836086
"CENTRAL","NOVENA","SGP000628","MHC MEDICAL CENTRE (NOVENA)","10 SQUARE 2 SINARAN DRIVE #09-10","307506","63976568","63976578","8.30AM-12.30PM,1.30PM-4.30PM","CLOSED","CLOSED","CLOSED","", 1.3210464, 103.8440207
"CITY","NORTH BRIDGEROAD","SGP000414","DRS SINGH & PARTNERS (RAFFLES CITY)","252 RAFFLES CITY SHOPPING CENTRE NORTH BRIDGEROAD #02-16","179103","63388883","63383565","9.00AM-1.00PM2.00PM-5.00PM","9.00AM-12.30PM","CLOSED","CLOSED","PATIENT TO ARRIVEAT CLINIC AT LEAST30MINS BEFORECLOSING.", 1.2938971, 103.8532958
"CENTRAL","ORCHARD","SGP000070","HEALTHSPRINGS MEDICAL ASSOCIATES","541 LIAT TOWERS ORCHARD ROAD #10-02","238881","67345260","67371960","9.00AM-1.00PM,2.00PM-5.00PM","9.00AM-1.00PM","CLOSED","CLOSED","", 1.3051895, 103.830536
"CENTRAL","ORCHARD","SGP000289","PRIME MEDICAL GROUP PTE LTD","290 PARAGON ORCHARD ROAD #09-11/12","238859","67328096","67375841","8.30AM-5.00PM","8.30AM-1.00PM","CLOSED","CLOSED","", 1.3037868, 103.8358137
"CENTRAL","ORCHARD","SGP000187","KILLINEY MEDICAL CLINIC","61 KILLINEY ROAD","239522","67362998","67362868","9.00AM-1.00PM,2.00PM-7.00PM","9.00AM-1.00PM","4.00PM-7.00PM","CLOSED","", 1.2989327, 103.8395406
"CENTRAL","ORCHARD","SGP000068","GP HEALTH CARE PTE LTD","5 CUPPAGE PLAZA KOEK ROAD #01-23","228796","67336060","67385273","9.00AM-1.00PM,2.00PM-5.30PM","9.00AM-1.00PM","CLOSED","CLOSED","CUT OFF HALF HOURBEFORE CLOSINGTIME.", 1.3018262, 103.84086
"CENTRAL","ORCHARD","SGP000077","DRS FERNANDEZ & PARTNERS","9 PARK MALL PENANG ROAD #07-06","238459","63380686","63347391","9.00AM-1.00PM2.00PM-5.00PM","9.00AM-1.00PM","CLOSED","CLOSED","Patient to arrive atclinic at least 30minsbefore closing", 1.30147, 103.8374201
"CENTRAL","ORCHARD","SGP000741","DR TAN & PARTNERS @ SOMERSET","1 ORCHARD BUILDING GRANGE ROAD #10-08","239693","62620762","62620766","9.00AM-1.00PM,2.00PM-5.30PM","9.00AM-1.00PM","CLOSED","CLOSED","", 1.3013396, 103.8373041
"CENTRAL","ORCHARD","SGP000048","CHONG'S MEDICAL CENTRE","190 SINGAPORE SHOPPING CENTRE CLEMENCEAUAVENUE #01-29/30","239924","63383297","63325629","9.00AM-12.30PM2.00PM-5.00PM","9.00AM-12.30PM","CLOSED","CLOSED","", 1.298146, 103.8441579
"EAST","PASIR RIS","SGP000221","LOYANG MEDICAL CENTRE","BOX 5142 LOYANG OFFSHORE SUPPLY BASE LOYANGCRESCENT","508988","65431690","65422528","8.30AM-1.00PM2.00PM-5.00PM","9.00AM-12.00PM","CLOSED","CLOSED","", 1.38403, 103.970452
"SOUTH-WEST","PASIR PANJANG","SGP000772","THE CLINIC @ BUSINESS CITY","20 MAPLETREE BUSINESS CITY PASIR PANJANG ROAD #02-26","117439","63846851","63846852","8.30AM-1.00PM,2.00PM-6.00PM","CLOSED","CLOSED","CLOSED","", 1.2750999, 103.7991266
"CENTRAL","ORCHARD","SGP000291","PRIMEHEALTH MEDICAL GROUP PTE LTD","81 UE SQUARE CLEMENCEAU AVENUE #03-22","239917","67344666","67345663","9.00AM-12.30PM,2.30PM-5.30PM","9.00AM-12.30PM","CLOSED","CLOSED","PATIENT TO ARRIVEAT LEAST 15MINSBEFORE CLOSING.", 1.2924172, 103.8426259
"CENTRAL","ORCHARD","SGP000259","NEWCASTLE CLINIC PTE LTD","541 LIAT TOWERS ORCHARD ROAD #18-02A","238881","67362322","67389186","9.00AM-1.00PM,2.00PM-5.30PM","9.00AM-1.00PM","CLOSED","CLOSED","", 1.3051622, 103.8305599
"CENTRAL","ORCHARD","SGP000092","FULLERTON HEALTHCARE GROUP @ DRS TRYTHALLHOY DAVIES, NGEE ANN CITY","391B NGEE ANN CITY TOWER B ORCHARD ROAD #25-07","238874","68365242","","8.30AM-1.00PM2.00PM-5.30PM","8.30AM-1.00PM","CLOSED","CLOSED","Patient to arrive atleast 30mins beforeclosing", 1.302639, 103.834649
"EAST","PASIR RIS","SGP000214","LILY AW PASIR RIS FAMILY CLINIC & SURGERY","BLK 446 PASIR RIS DRIVE 6 #01-116","510446","65822122","65842378","8.30AM-12.30PM2.00PM-4.30PM6.00PM-9.00PM","8.30AM-12.30PM6.00PM-9.00PM","8.30AM-12.30PM","8.30AM-12.30PM","", 1.3704864, 103.9576504
"EAST","PASIR RIS","SGP000270","OEI FAMILY CLINIC","BLK 625 ELIAS MALL ELIAS ROAD #02-316","510625","65810800","65830362","MON/TUE/THU:9.00AM-1.00PM,2.00PM-5.00PM,6.00PM-8.30PMWED/FRI: 9.00AM-1.00PM, 2.00PM-4.00PM","9.00AM-1.00PM,2.00PM-4.00PM","CLOSED","CLOSED","", 1.378441, 103.94193
"EAST","PASIR RIS","SGP000147","HEALTHWAY MEDICAL CLINIC","BLK 625 ELIAS MALL ELIAS ROAD #01-322","510625","65846822","65846883","8.30AM-5.00PM,6.30PM-9.30PM","8.30AM-12.30PM","8.30AM-12.30PM","8.30AM-12.30PM","", 1.378569, 103.9417466
"CENTRAL-EAST","PAYA LEBAR","SGP000194","KONG KIAN CLINIC","187 UPPER PAYA LEBAR ROAD","534869","62887101","62887101","8.30AM-12.30PM,2.00PM-5.00PM","8.30AM-12.30PM","9.00AM-12.00PM","9.00AM-12.00PM","", 1.3401149, 103.8850133
"CENTRAL-EAST","PAYA LEBAR","SGP000531","TAI SENG CLINIC","137 UPPER PAYA LEBAR ROAD","534844","62882434","62882434","8.30AM-12.30PM,2.00PM-4.30PM","8.30AM-12.30PM,2.00PM-4.00PM","8.30AM-11.30AM","8.30AM-11.00AM","", 1.3388525, 103.8861725
"EAST","PASIR RIS","SGP000555","HEALTHMARK CLINIC (PASIR RIS)","BLK 735 PASIR RIS STREET 72 #01-314","510735","65827823","65827055","8.30AM-1.00PM,2.00PM-5.00PM,6.30PM-9.30PM(CLOSEDMON/WED/FRIAFTERNOON &TUE/FRI NIGHT)","8.30AM-12.00PM","8.30AM-12.00PM","CLOSED","", 1.3795848, 103.9362867
"EAST","PASIR RIS","SGP000279","PARAGON MEDICAL CENTRE PTE LTD","BLK 258 LOYANG POINT PASIR RIS STREET 21 #02-323","510258","65833693","65833693","9.00AM-1.00PM,2.00PM-4.00PM,6.30PM-9.00PM","9.00AM-1.00PM","APPOINTMENTSONLY","APPOINTMENTSONLY","- LAST REGISTRATIONIS 30MINS BEFORECLOSING TIME.- TEMPORARYCLOSURE FROM 16APRIL 2016 TILLFURTHER NOTICEDUE TO MAJORRENOVATIONWORKS.INCONVENIENCEREGRETTED.", 1.3665495, 103.964242
"EAST","PASIR RIS","SGP000274","OXFORD MEDICAL CENTRE","BLK 735 PASIR RIS WEST PLAZA PASIR RIS STREET 72 #02-330","510735","65851496","65851496","8.30AM-12.30PM,7.00PM-9.30PM","8.30AM-12.30PM","CLOSED","CLOSED","", 1.379861, 103.9361799
"CENTRAL-EAST","PAYA LEBAR","SGP000701","PHOENIX MEDICAL GROUP (PAYA LEBAR)","60 PAYA LEBAR SQUARE PAYA LEBAR ROAD #02-09","409051","67022940","67022941","9.00AM-1.00PM,2.00PM-5.30PM","9.00AM-1.00PM","CLOSED","CLOSED","", 1.3187867, 103.8927145
"EAST","PASIR RIS","SGP000061","DAYSPRING MEDICAL CLINIC (PASIR RIS)","1 WHITE SANDS PASIR RIS CENTRAL STREET 3 #05-09","518457","65850123","65850103","9.00AM-1.00PM,2.00PM-5.00PM,6.00PM-9.00PM","9.00AM-1.00PM","9.00AM-1.00PM","CLOSED","", 1.372635, 103.9495036
"CENTRAL-EAST","POTONG PASIR","SGP000355","THE FAMILY PRACTICE - POTONG PASIR","BLK 148 POTONG PASIR AVENUE 1 #01-33","350148","62816906","62818602","MON-THU: 8.30AM-1.00PM, 5.30PM-9.30PM FRI: 8.30AM-1.00PM","8.30AM-1.00PM","CLOSED","CLOSED","", 1.3325271, 103.8680918
"NORTH-EAST","PUNGGOL","SGP000250","MUTUAL HEALTHCARE PTE LTD","BLK 106A PUNGGOL FIELD ROAD #01-546","821106","63155036","63155037","8.30AM-12.00PM2.00PM-4.00PM6.30PM-9.00PM","8.30AM-12.00PM","8.30AM-12.00PM","8.30AM-12.00PM","", 1.3966992, 103.9085274
"NORTH-EAST","PUNGGOL","SGP000756","PUNGGOL RIPPLES FAMILY CLINIC","BLK 211D PUNGGOL WALK #01-667","824211","65383707","66361500","MON: 8.30AM-1.00PM,2.00PM-5.00PM,6.00PM-9.00PM TUE-FRI: 8.30-1.00PM,7.00PM-9.00PM","CLOSED","CLOSED","CLOSED","", 1.4008531, 103.8993501
"NORTH-EAST","PUNGGOL","SGP000534","HEALTHWAY PUNGGOL CLINIC","BLK 168 PUNGGOL PLAZA PUNGGOL FIELD #02-07A","820168","63153493","63153494","8.30AM-12.30PM,2.00PM-5.00PM,6.00PM-10.00PM","8.30AM-12.30PM","9.00AM-12.30PM","9.00AM-12.30PM","", 1.3941946, 103.9131318
"NORTH-EAST","PUNGGOL","SGP000212","LIFELINE PUNGGOL MEDICAL CLINIC","BLK 198 PUNGGOL FIELD #02-03","820198","63155428","63155429","8.30AM-12.30PM2.00PM-4.30PM7.00PM-9.00PM","8.30AM-12.00PM6.30PM-8.30PM","8.30AM-12.00PM","8.30AM-12.00PM","", 1.39946, 103.90634
"NORTH-EAST","PUNGGOL","SGP000752","MINMED CLINIC (PUNGGOL)","83 WATERWAY POINT PUNGGOL CENTRAL #02-15","828761","63880123","65830103","9.00AM-1.00PM,2.00PM-5.00PM,6.00PM-9.00PM","9.00AM-1.00PM,6.00PM-9.00PM","9.00AM-1.00PM,6.00PM-9.00PM","CLOSED","", 1.405351, 103.902042
"NORTH-EAST","PUNGGOL","SGP000406","HEALTHMARK MEDICAL CLINIC","BLK 639 PUNGGOL DRIVE #01-06","820639","68756696","68756616","8.30AM-2.00PM,4.30PM-8.00PM(OPENED ON TUE/THUEVENINGS)","8.30AM-1.00PM","CLOSED","CLOSED","", 1.3994516, 103.9160621
"CENTRAL-EAST","POTONG PASIR","SGP000124","GOH MEDICAL CLINIC","BLK 136 POTONG PASIR AVENUE 3 #01-164","350136","62827886","62827886","8.30AM-12.00PM,2.00PM-4.30PM,6.30PM-8.30PM(CLOSED ON WED,THURS, FRI EVENING)","8.30AM-12.00PM","CLOSED","9.00AM-12.00PM","", 1.3340619, 103.8666004
"CENTRAL-EAST","PAYA LEBAR","SGP000315","ST HEALTHCARE PTE LTD","492 PAYA LEBAR AIRBASE AIRPORT ROAD","539945","64880621","62855113","8.00AM-5.00PM","8.00AM-12.00PM","CLOSED","CLOSED","", 1.3581563, 103.9112546
"NORTH-EAST","PUNGGOL","SGP000650","ETERN MEDICAL CLINIC @ PUNGGOL MRT","70 PUNGGOL MRT STATION PUNGGOL CENTRAL #01-05","828868","64259935","64259936","8.30AM-1.00PM,2.00PM-4.30PM,6.30PM-9.30PM","8.30AM-1.00PM","8.30AM-1.00PM","8.30AM-1.00PM","LAST REGISTRATION15 MINS BEFORECLOSING OR EARLIERTHAN AS STATED IFREACHED THEMAXIMUM NUMBEROF PATIENTS THATCAN BE ACCEPTEDFOR THAT SESSION.", 1.4050922, 103.9024659
"NORTH-EAST","PUNGGOL","SGP000639","TRINITY MEDICAL (PUNGGOL) PTE LTD","BLK 273C PUNGGOL PLACE #01-880","823273","66948238","66948239","8.30AM-12.00PM,2.00PM-4.30PM,6.00PM-9.30PM","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","LAST REGISTRATIONIS 30MINS BEFORECLOSING TIME.", 1.402247, 103.901371
"NORTH-EAST","PUNGGOL","SGP000731","PANHEALTH FAMILY CLINIC","312B SUMANG LINK #01-03","822312","69660595","69668639","8.30AM-12.30PM,2.30PM-4.30PM,6.30PM-9.30PM(CLOSED ON THURS &FRI AFTERNOONS)","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","LAST REGISTRATIONIS 10 MINS BEFORECLOSING.", 1.4103524, 103.9004641
"CENTRAL-SOUTH","QUEENSTOWN","SGP000759","THE FAMILY PRACTICE PTE LTD","BLK 85 DAWSON ROAD #01-06","141085","62551382","62551387","8.30AM-1.00PM,2.00PM-4.30PM, 6.00-9.00PM (CLOSED ONFRIDAY EVENINGS)","8.30AM-12.30PM","8.30AM-12.00PM","8.30AM-12.00PM(OPEN ONSELECTED PUBLICHOLIDAYS)","", 1.2957181, 103.8098754
"CENTRAL-SOUTH","QUEENSTOWN","SGP000237","MEI LING CLINIC LLP","BLK 158 MEI LING STREET #01-80","140158","64741782","64749201","8.00AM-1.00PM,6.00PM-8.30PM","8.00AM-11.30AM","8.00AM-11.30AM","CLOSED","PATIENT TO ARRIVEAT LEAST 15 MINSBEFORE CLOSING.PATIENTS SEENAFTER NORMALREGISTRATION ANDOPERATING HOURSWILL BE ON CASHTERMS ONLY.", 1.2926246, 103.8027491
"CITY","RAFFLES PLACE","SGP000359","THE MEDICAL CENTRE CLINIC (HONG LEONG)","16 HONG LEONG BUILDING RAFFLES QUAY #B1-15","48581","62207585","62217387","8.30AM-5.00PM","CLOSED","CLOSED","CLOSED","", 1.2814095, 103.8510185
"CENTRAL-SOUTH","QUEENSTOWN","SGP000506","TENG CLINIC","BLK 171 STIRLING ROAD #01-1101","140171","64733187","64733187","8.30AM-12.00PM,2.00PM-4.00PM","8.30AM-12.00PM","8.30AM-12.00PM","8.30AM-12.00PM","", 1.2909234, 103.8039482
"CITY","RAFFLES PLACE","SGP000411","PROVIDENCE MEDICAL CENTRE PTE LTD","8 PWC BUILDING CROSS STREET #01-03","48424","62262232","65362232","8.30AM-5.30PM","9.00AM-12.30PM","CLOSED","CLOSED","", 1.282204, 103.8490957
"CENTRAL-SOUTH","QUEENSTOWN","SGP000003","ALEXANDRA FAMILY CLINIC & SURGERY","BLK 57 DAWSON PLACE DAWSON ROAD #02-02","142057","64797022","64798366","8.00AM-2.30PM,6.00PM-8.30PM(CLOSED ON THURSEVENINGS)","8.00AM-12.00PM","8.00AM-12.00PM","CLOSED","", 1.2927125, 103.8109599
